I,deltaT,T_in,pressure_ratio,Qc,Ptec,Qh,T_sat,m_dot_required,COP
7.0,2.857142857142857,40,1.3,0.7607142857142857,0.7431428571428571,1.5038571428571428,107.49465184921638,5.322773639477074e-06,1.0236447520184544
7.0,2.857142857142857,40,1.4,0.7607142857142857,0.7431428571428571,1.5038571428571428,109.68224258275194,5.155671521938315e-06,1.0236447520184544
7.0,2.857142857142857,40,1.5,0.7607142857142857,0.7431428571428571,1.5038571428571428,111.74486049387446,5.00744933080419e-06,1.0236447520184544
7.0,5.714285714285714,20,1.1,0.7344285714285714,0.7482857142857142,1.4827142857142857,102.66664677456191,4.284774062062734e-06,0.9814814814814816
7.0,5.714285714285714,20,1.2,0.7344285714285714,0.7482857142857142,1.4827142857142857,105.16374456813821,4.159139616200748e-06,0.9814814814814816
7.0,5.714285714285714,20,1.3,0.7344285714285714,0.7482857142857142,1.4827142857142857,107.49465184921638,4.048337771636235e-06,0.9814814814814816
7.0,5.714285714285714,20,1.4,0.7344285714285714,0.7482857142857142,1.4827142857142857,109.68224258275194,3.949587941788017e-06,0.9814814814814816
7.0,5.714285714285714,20,1.5,0.7344285714285714,0.7482857142857142,1.4827142857142857,111.74486049387446,3.8607928770134685e-06,0.9814814814814816
7.0,5.714285714285714,30,1.1,0.7344285714285714,0.7482857142857142,1.4827142857142857,102.66664677456191,4.8744220301815394e-06,0.9814814814814816
7.0,5.714285714285714,30,1.2,0.7344285714285714,0.7482857142857142,1.4827142857142857,105.16374456813821,4.712483471020323e-06,0.9814814814814816
7.0,5.714285714285714,30,1.3,0.7344285714285714,0.7482857142857142,1.4827142857142857,107.49465184921638,4.5707399858578316e-06,0.9814814814814816
7.0,5.714285714285714,30,1.4,0.7344285714285714,0.7482857142857142,1.4827142857142857,109.68224258275194,4.445255208894145e-06,0.9814814814814816
7.0,5.714285714285714,30,1.5,0.7344285714285714,0.7482857142857142,1.4827142857142857,111.74486049387446,4.3330908115487874e-06,0.9814814814814816
7.0,5.714285714285714,40,1.1,0.7344285714285714,0.7482857142857142,1.4827142857142857,102.66664677456191,5.652255579775611e-06,0.9814814814814816
7.0,5.714285714285714,40,1.2,0.7344285714285714,0.7482857142857142,1.4827142857142857,105.16374456813821,5.435659142131846e-06,0.9814814814814816
7.0,5.714285714285714,40,1.3,0.7344285714285714,0.7482857142857142,1.4827142857142857,107.49465184921638,5.247940306272685e-06,0.9814814814814816
